"County","State","FIPS","Total Vote","Clinton","Trump"
"Anson","NC","37007",10545,5859,4506
"Ashe","NC","37009",13424,3500,9412
"Avery","NC","37011",8249,1689,6298
"Beaufort","NC","37013",23938,8764,14543
"Bertie","NC","37015",9347,5778,3456
"Bladen","NC","37017",15897,7058,8550
"Brunswick","NC","37019",68351,23282,42720
"Buncombe","NC","37021",138947,75452,55716
"Burke","NC","37023",38920,11251,26238
"Cabarrus","NC","37025",93289,35521,53819
"Caldwell","NC","37027",36320,8425,26621
"Camden","NC","37029",5006,1274,3546
"Carteret","NC","37031",37781,9939,26569
"Caswell","NC","37033",11070,4792,6026
"Catawba","NC","37035",72351,21216,48324
"Chatham","NC","37037",39849,21065,17105
"Cherokee","NC","37039",14181,2860,10844
"Chowan","NC","37041",7228,2992,4014
"Clay","NC","37043",6010,1367,4437
"Cleveland","NC","37045",44673,14964,28479
"Columbus","NC","37047",23732,9063,14272
"Craven","NC","37049",47001,17630,27731
"Cumberland","NC","37051",127506,71605,51265
"Currituck","NC","37053",12669,2913,9163
"Dare","NC","37055",19609,7222,11460
"Davidson","NC","37057",74856,18109,54317
"Davie","NC","37059",21756,5270,15602
"Duplin","NC","37061",20845,8283,12217
"Durham","NC","37063",156134,121250,28350
"Edgecombe","NC","37065",24886,16224,8261
"Forsyth","NC","37067",178312,94464,75975
"Franklin","NC","37069",30368,12874,16368
"Gaston","NC","37071",96431,31177,61798
"Gates","NC","37073",5392,2385,2874
"Graham","NC","37075",4168,768,3283
"Granville","NC","37077",27353,12909,13591
"Greene","NC","37079",8095,3605,4374
"Guilford","NC","37081",257405,149248,98062
"Halifax","NC","37083",25167,15748,9031
"Harnett","NC","37085",46065,16737,27614
"Haywood","NC","37087",30727,10473,18929
"Henderson","NC","37089",58176,19827,35809
"Hertford","NC","37091",10186,6910,3099
"Hoke","NC","37093",18230,9726,7760
"Hyde","NC","37095",2304,965,1288
"Iredell","NC","37097",82567,24734,54754
"Jackson","NC","37099",18713,7713,9870
"Johnston","NC","37101",85909,28362,54372
"Jones","NC","37103",5135,2065,2974
"Lee","NC","37105",25084,10469,13712
"Lenoir","NC","37107",26807,12634,13613
"Lincoln","NC","37109",40023,9897,28806
"McDowell","NC","37111",19875,4667,14568
"Macon","NC","37113",17734,4876,12127
"Madison","NC","37115",11269,3926,6783
"Martin","NC","37117",11964,5846,5897
"Mecklenburg","NC","37119",472857,294562,155518
"Mitchell","NC","37121",8096,1596,6282
"Montgomery","NC","37123",11540,4150,7130
"Moore","NC","37125",48692,16329,30490
"Nash","NC","37127",47665,23235,23319
"New Hanover","NC","37129",111905,50979,55344
"Northampton","NC","37131",9848,6144,3582
"Onslow","NC","37133",57135,17514,37122
"Orange","NC","37135",82340,59923,18557
"Pamlico","NC","37137",6870,2448,4258
"Pasquotank","NC","37139",17391,8615,8180
"Pender","NC","37141",27885,9354,17639
"Perquimans","NC","37143",6708,2319,4177
"Person","NC","37145",19615,7833,11185
"Pitt","NC","37147",80527,41824,35691
"Polk","NC","37149",10934,3735,6768
"Randolph","NC","37151",64575,13194,49430
"Richmond","NC","37153",19328,8501,10383
"Robeson","NC","37155",40858,19016,20762
"Rockingham","NC","37157",42278,14228,26830
"Rowan","NC","37159",64369,19400,42810
"Rutherford","NC","37161",30307,7512,21871
"Sampson","NC","37163",25928,10547,14838
"Scotland","NC","37165",13928,7319,6256
"Stanly","NC","37167",29917,7094,21964
"Stokes","NC","37169",22550,4665,17116
"Surry","NC","37171",32196,7488,23671
"Swain","NC","37173",6124,2196,3565
"Transylvania","NC","37175",17869,6558,10520
"Tyrrell","NC","37177",1739,720,975
"Union","NC","37179",105710,34337,66707
"Vance","NC","37181",19977,12229,7332
"Wake","NC","37183",527624,302736,196082
"Warren","NC","37185",9842,6413,3214
"Washington","NC","37187",6165,3510,2564
"Watauga","NC","37189",29985,14138,13697
"Wayne","NC","37191",50689,21770,27540
"Wilkes","NC","37193",31296,6638,23752
"Wilson","NC","37195",38135,19663,17531
"Yadkin","NC","37197",17624,3160,13880
"Yancey","NC","37199",9960,3196,6385
"Adams","OH","39001",11412,2326,8659
"Allen","OH","39003",46234,13294,30487
